video_id,time,distance
aaju.mp4,0,2.0698154
aava.mp4,30,2.996291
aava.mp4,40,3.5887852
aava.mp4,50,4.2642636
abhg.mp4,2,4.20733
abhg.mp4,4,4.8001814
abhg.mp4,6,5.5649595
abhg.mp4,8,6.9985557
abhg.mp4,10,8.195625
abhg.mp4,12,7.9000874
abhg.mp4,14,7.772125
abhg.mp4,16,8.589941
abhg.mp4,18,9.397223
abhg.mp4,20,9.908308
abhg.mp4,22,10.717357
abhg.mp4,24,11.096484
abhg.mp4,26,10.985152
abhg.mp4,28,11.434322
abhg.mp4,38,12.004161
abhg.mp4,42,14.896877
abjx.mp4,0,2.6780984
absl.avi,0,5.1691847
absl.avi,2,4.6119924
absl.avi,4,4.659328
absl.avi,6,4.929382
absl.avi,8,4.7509494
absl.avi,10,4.3925257
absl.avi,12,4.2000723
absl.avi,14,3.765255
acdy.mp4,10,7.5036974
acdy.mp4,40,2.5333707
aceu.mp4,0,4.430216
acgp.mp4,0,1.3976649
acgp.mp4,2,1.5331534
acgp.mp4,4,1.7722073
acgp.mp4,6,2.3646736
acgp.mp4,8,1.9273849
acgp.mp4,10,1.6057637
acgp.mp4,34,0.9652328
acgp.mp4,36,0.98923004
acgp.mp4,38,1.0233467
acgp.mp4,40,0.9909935
acgp.mp4,42,1.0135739
acgp.mp4,44,1.1013799
acgp.mp4,46,1.1104258
acgp.mp4,48,1.401904
acgp.mp4,50,1.6285657
acgp.mp4,52,1.3801516
acgp.mp4,54,1.3378999
acgp.mp4,56,1.4639704
acgp.mp4,58,1.6646335
acii.mp4,0,3.4095902
acii.mp4,2,3.5695894
acii.mp4,4,3.6782014
acii.mp4,6,3.2771335
acii.mp4,8,3.5569866
acjm.mp4,10,7.7529774
acjm.mp4,40,9.886284
adfm.mp4,0,1.7700131
adfm.mp4,2,2.645033
adfm.mp4,4,2.692648
adfm.mp4,6,2.679974
adfm.mp4,8,2.3869116
adwm.avi,0,6.8647947
adwm.avi,2,6.9419875
adwm.avi,4,7.1385665
adwm.avi,6,7.167608
adwm.avi,8,6.449849
adwm.avi,10,6.698267
adwm.avi,12,6.847144
adwm.avi,14,6.982986
adxk.avi,0,5.9342723
adxk.avi,2,6.4443636
adxk.avi,4,6.591541
adxk.avi,6,6.46406
adxk.avi,8,6.3434353
adxk.avi,10,6.754527
adxk.avi,12,6.9198947
adxk.avi,14,7.0240054
adxn.avi,0,8.548079
adxn.avi,2,8.983798
adxn.avi,4,9.252281
adxn.avi,6,9.212082
adxn.avi,8,8.997459
adxn.avi,10,8.87641
adxn.avi,12,8.292266
adxn.avi,14,8.329073
aexm.mp4,0,4.675171
aexm.mp4,10,8.048871
aexm.mp4,20,8.179182
afkc.mp4,0,3.3830557
afkc.mp4,2,2.5105455
agku.avi,0,5.559373
agku.avi,2,5.430065
agku.avi,4,5.799804
agku.avi,6,6.432085
agku.avi,8,6.770423
agku.avi,10,6.894281
agku.avi,12,7.0401707
agku.avi,14,7.246684
agvr.mp4,0,2.5350127
agvr.mp4,2,2.8049517
ahlg.avi,1,2.6500027
ahlg.avi,3,2.8935866
ahlg.avi,5,3.186965
ahlg.avi,7,3.6433344
ahlg.avi,9,3.842165
ahlg.avi,11,4.2344055
ahlg.avi,13,4.503085
ahlg.avi,15,4.505527
ahlg.avi,17,4.7122483
ahlg.avi,19,4.542222
ahlg.avi,21,5.1969028
ahlg.avi,23,5.5685425
ahlg.avi,25,5.5376043
ahlg.avi,27,5.6095076
ahlg.avi,29,5.5048103
ahlg.avi,31,5.713146
ahlg.avi,33,6.1138086
ahpy.avi,0,8.139364
ahpy.avi,4,8.625638
ahpy.avi,6,8.579523
ahpy.avi,8,8.469319
ahpy.avi,10,8.501517
ahpy.avi,12,8.371296
ahpy.avi,14,8.260506
aiii.avi,0,6.7808867
aiii.avi,2,7.2910953
aiii.avi,4,7.4950256
aiii.avi,6,7.6756506
aiii.avi,8,7.746364
aiii.avi,10,7.648617
aiii.avi,12,7.318937
aiii.avi,14,7.219695
